filename,adjective,frequency
FOMCminutes20010627.txt,real,5
FOMCminutes20010627.txt,sluggish,5
FOMCminutes20010627.txt,new,5
FOMCminutes20010627.txt,good,5
FOMCminutes20010627.txt,current,5
FOMCminutes20010821.txt,economic,19
FOMCminutes20010821.txt,recent,14
FOMCminutes20010821.txt,second,12
FOMCminutes20010821.txt,many,9
FOMCminutes20010821.txt,federal,8
FOMCminutes20010821.txt,monetary,8
FOMCminutes20010821.txt,foreign,7
FOMCminutes20010821.txt,financial,7
FOMCminutes20010821.txt,overall,6
FOMCminutes20010821.txt,weak,6
FOMCminutes20010821.txt,anecdotal,6
FOMCminutes20010821.txt,substantial,6
FOMCminutes20010821.txt,favorable,5
FOMCminutes20010821.txt,available,5
FOMCminutes20010821.txt,industrial,4
FOMCminutes20010821.txt,sizable,4
FOMCminutes20010821.txt,retail,4
FOMCminutes20010821.txt,good,4
FOMCminutes20010821.txt,decline,4
FOMCminutes20010821.txt,foreseeable,4
FOMCminutes20011002.txt,economic,20
FOMCminutes20011002.txt,federal,17
FOMCminutes20011002.txt,terrorist,11
FOMCminutes20011002.txt,august,10
FOMCminutes20011002.txt,sharp,10
FOMCminutes20011002.txt,recent,9
FOMCminutes20011002.txt,new,9
FOMCminutes20011002.txt,anecdotal,8
FOMCminutes20011002.txt,overall,8
FOMCminutes20011002.txt,lower,8
FOMCminutes20011002.txt,large,7
FOMCminutes20011002.txt,many,7
FOMCminutes20011002.txt,little,6
FOMCminutes20011002.txt,available,6
FOMCminutes20011002.txt,financial,6
FOMCminutes20011002.txt,monetary,6
FOMCminutes20011002.txt,likely,6
FOMCminutes20011002.txt,good,5
FOMCminutes20011002.txt,average,5
FOMCminutes20011002.txt,substantial,5
FOMCminutes20011106.txt,economic,20
FOMCminutes20011106.txt,foreign,11
FOMCminutes20011106.txt,good,10
FOMCminutes20011106.txt,federal,10
FOMCminutes20011106.txt,additional,7
FOMCminutes20011106.txt,monetary,7
FOMCminutes20011106.txt,fiscal,7
FOMCminutes20011106.txt,lower,6
FOMCminutes20011106.txt,major,6
FOMCminutes20011106.txt,many,6
FOMCminutes20011106.txt,low,6
FOMCminutes20011106.txt,third,6
FOMCminutes20011106.txt,anecdotal,6
FOMCminutes20011106.txt,terrorist,5
FOMCminutes20011106.txt,overall,5
FOMCminutes20011106.txt,sharp,5
FOMCminutes20011106.txt,october,5
FOMCminutes20011106.txt,sizable,5
FOMCminutes20011106.txt,september,5
FOMCminutes20011106.txt,recent,5
FOMCminutes20011211.txt,economic,33
FOMCminutes20011211.txt,recent,13
FOMCminutes20011211.txt,foreign,11
FOMCminutes20011211.txt,good,9
FOMCminutes20011211.txt,current,9
FOMCminutes20011211.txt,little,8
FOMCminutes20011211.txt,industrial,7
FOMCminutes20011211.txt,high,7
FOMCminutes20011211.txt,new,7
FOMCminutes20011211.txt,monetary,7
FOMCminutes20011211.txt,significant,7
FOMCminutes20011211.txt,fiscal,7
FOMCminutes20011211.txt,sharp,6
FOMCminutes20011211.txt,third,6
FOMCminutes20011211.txt,additional,6
FOMCminutes20011211.txt,major,6
FOMCminutes20011211.txt,federal,6
FOMCminutes20011211.txt,likely,6
FOMCminutes20011211.txt,next,6
FOMCminutes20011211.txt,many,6
FOMCminutes20020130.txt,economic,29
FOMCminutes20020130.txt,fourth,11
FOMCminutes20020130.txt,recent,11
FOMCminutes20020130.txt,federal,10
FOMCminutes20020130.txt,good,9
FOMCminutes20020130.txt,low,9
FOMCminutes20020130.txt,foreign,9
FOMCminutes20020130.txt,final,7
FOMCminutes20020130.txt,monetary,7
FOMCminutes20020130.txt,important,7
FOMCminutes20020130.txt,little,6
FOMCminutes20020130.txt,likely,6
FOMCminutes20020130.txt,current,6
FOMCminutes20020130.txt,large,5
FOMCminutes20020130.txt,weak,5
FOMCminutes20020130.txt,major,5
FOMCminutes20020130.txt,positive,5
FOMCminutes20020130.txt,sizable,4
FOMCminutes20020130.txt,late,4
FOMCminutes20020130.txt,december,4
FOMCminutes20020319.txt,economic,32
FOMCminutes20020319.txt,january,15
FOMCminutes20020319.txt,february,11
FOMCminutes20020319.txt,federal,10
FOMCminutes20020319.txt,low,8
FOMCminutes20020319.txt,fourth,8
FOMCminutes20020319.txt,recent,8
FOMCminutes20020319.txt,several,7
FOMCminutes20020319.txt,final,6
FOMCminutes20020319.txt,major,6
FOMCminutes20020319.txt,little,6
FOMCminutes20020319.txt,strong,6
FOMCminutes20020319.txt,large,6
FOMCminutes20020319.txt,robust,6
FOMCminutes20020319.txt,monetary,6
FOMCminutes20020319.txt,many,6
FOMCminutes20020319.txt,last,5
FOMCminutes20020319.txt,industrial,5
FOMCminutes20020319.txt,retail,5
FOMCminutes20020319.txt,steep,5
FOMCminutes20020507.txt,economic,18
FOMCminutes20020507.txt,current,11
FOMCminutes20020507.txt,first,10
FOMCminutes20020507.txt,federal,9
FOMCminutes20020507.txt,monetary,9
FOMCminutes20020507.txt,large,7
FOMCminutes20020507.txt,final,7
FOMCminutes20020507.txt,recent,7
FOMCminutes20020507.txt,many,7
FOMCminutes20020507.txt,high,6
FOMCminutes20020507.txt,available,6
FOMCminutes20020507.txt,february,6
FOMCminutes20020507.txt,much,6
FOMCminutes20020507.txt,low,6
FOMCminutes20020507.txt,fiscal,6
FOMCminutes20020507.txt,industrial,5
FOMCminutes20020507.txt,new,5
FOMCminutes20020507.txt,strong,5
FOMCminutes20020507.txt,foreign,5
FOMCminutes20020507.txt,anecdotal,5
FOMCminutes20020626.txt,economic,17
FOMCminutes20020626.txt,federal,11
FOMCminutes20020626.txt,recent,10
FOMCminutes20020626.txt,low,10
FOMCminutes20020626.txt,monetary,8
FOMCminutes20020626.txt,current,8
FOMCminutes20020626.txt,little,6
FOMCminutes20020626.txt,good,6
FOMCminutes20020626.txt,foreign,6
FOMCminutes20020626.txt,strong,5
FOMCminutes20020626.txt,first,5
FOMCminutes20020626.txt,new,5
FOMCminutes20020626.txt,available,5
FOMCminutes20020626.txt,financial,5
FOMCminutes20020626.txt,moderate,5
FOMCminutes20020626.txt,final,5
FOMCminutes20020626.txt,sizable,5
FOMCminutes20020626.txt,prospect,5
FOMCminutes20020626.txt,retail,4
FOMCminutes20020626.txt,april,4
FOMCminutes20020813.txt,economic,24
FOMCminutes20020813.txt,financial,14
FOMCminutes20020813.txt,little,9
FOMCminutes20020813.txt,many,9
FOMCminutes20020813.txt,second,8
FOMCminutes20020813.txt,federal,8
FOMCminutes20020813.txt,corporate,8
FOMCminutes20020813.txt,low,7
FOMCminutes20020813.txt,several,7
FOMCminutes20020813.txt,likely,7
FOMCminutes20020813.txt,sizable,6
FOMCminutes20020813.txt,available,6
FOMCminutes20020813.txt,industrial,6
FOMCminutes20020813.txt,overall,6
FOMCminutes20020813.txt,recent,6
FOMCminutes20020813.txt,major,6
FOMCminutes20020813.txt,final,5
FOMCminutes20020813.txt,retail,5
FOMCminutes20020813.txt,favorable,5
FOMCminutes20020813.txt,structural,5
FOMCminutes20020924.txt,economic,20
FOMCminutes20020924.txt,available,8
FOMCminutes20020924.txt,current,8
FOMCminutes20020924.txt,high,7
FOMCminutes20020924.txt,recent,7
FOMCminutes20020924.txt,federal,7
FOMCminutes20020924.txt,significant,7
FOMCminutes20020924.txt,strong,6
FOMCminutes20020924.txt,august,6
FOMCminutes20020924.txt,good,6
FOMCminutes20020924.txt,new,6
FOMCminutes20020924.txt,low,6
FOMCminutes20020924.txt,major,6
FOMCminutes20020924.txt,several,6
FOMCminutes20020924.txt,solid,5
FOMCminutes20020924.txt,robust,5
FOMCminutes20020924.txt,monetary,5
FOMCminutes20020924.txt,third,4
FOMCminutes20020924.txt,residential,4
FOMCminutes20020924.txt,sizable,4
FOMCminutes20021106.txt,economic,32
FOMCminutes20021106.txt,federal,12
FOMCminutes20021106.txt,recent,9
FOMCminutes20021106.txt,little,8
FOMCminutes20021106.txt,high,7
FOMCminutes20021106.txt,robust,7
FOMCminutes20021106.txt,low,7
FOMCminutes20021106.txt,current,7
FOMCminutes20021106.txt,many,6
FOMCminutes20021106.txt,major,6
FOMCminutes20021106.txt,financial,6
FOMCminutes20021106.txt,monetary,6
FOMCminutes20021106.txt,sluggish,5
FOMCminutes20021106.txt,overall,5
FOMCminutes20021106.txt,favorable,5
FOMCminutes20021106.txt,important,5
FOMCminutes20021106.txt,third,4
FOMCminutes20021106.txt,strong,4
FOMCminutes20021106.txt,october,4
FOMCminutes20021106.txt,september,4
FOMCminutes20021210.txt,economic,28
FOMCminutes20021210.txt,financial,11
FOMCminutes20021210.txt,federal,9
FOMCminutes20021210.txt,little,8
FOMCminutes20021210.txt,recent,8
FOMCminutes20021210.txt,low,8
FOMCminutes20021210.txt,new,8
FOMCminutes20021210.txt,major,8
FOMCminutes20021210.txt,monetary,8
FOMCminutes20021210.txt,sluggish,7
FOMCminutes20021210.txt,november,7
FOMCminutes20021210.txt,fiscal,6
FOMCminutes20021210.txt,significant,6
FOMCminutes20021210.txt,third,5
FOMCminutes20021210.txt,many,5
FOMCminutes20021210.txt,current,5
FOMCminutes20021210.txt,strong,4
FOMCminutes20021210.txt,industrial,4
FOMCminutes20021210.txt,last,4
FOMCminutes20021210.txt,october,4
FOMCminutes20030129.txt,economic,22
FOMCminutes20030129.txt,federal,11
FOMCminutes20030129.txt,low,10
FOMCminutes20030129.txt,current,9
FOMCminutes20030129.txt,fourth,8
FOMCminutes20030129.txt,little,8
FOMCminutes20030129.txt,november,8
FOMCminutes20030129.txt,overall,7
FOMCminutes20030129.txt,likely,7
FOMCminutes20030129.txt,good,6
FOMCminutes20030129.txt,new,6
FOMCminutes20030129.txt,recent,6
FOMCminutes20030129.txt,monetary,6
FOMCminutes20030129.txt,fiscal,6
FOMCminutes20030129.txt,sharp,5
FOMCminutes20030129.txt,retail,5
FOMCminutes20030129.txt,strong,5
FOMCminutes20030129.txt,major,5
FOMCminutes20030129.txt,geopolitical,5
FOMCminutes20030129.txt,favorable,5
FOMCminutes20030318.txt,economic,23
FOMCminutes20030318.txt,february,13
FOMCminutes20030318.txt,january,13
FOMCminutes20030318.txt,likely,9
FOMCminutes20030318.txt,many,9
FOMCminutes20030318.txt,high,9
FOMCminutes20030318.txt,major,9
FOMCminutes20030318.txt,good,8
FOMCminutes20030318.txt,low,8
FOMCminutes20030318.txt,federal,7
FOMCminutes20030318.txt,monetary,7
FOMCminutes20030318.txt,recent,6
FOMCminutes20030318.txt,new,6
FOMCminutes20030318.txt,geopolitical,5
FOMCminutes20030318.txt,sluggish,4
FOMCminutes20030318.txt,overall,4
FOMCminutes20030318.txt,large,4
FOMCminutes20030318.txt,last,4
FOMCminutes20030318.txt,fourth,4
FOMCminutes20030318.txt,financial,4
FOMCminutes20030506.txt,economic,35
FOMCminutes20030506.txt,first,13
FOMCminutes20030506.txt,recent,12
FOMCminutes20030506.txt,high,8
FOMCminutes20030506.txt,low,8
FOMCminutes20030506.txt,federal,8
FOMCminutes20030506.txt,foreign,7
FOMCminutes20030506.txt,overall,6
FOMCminutes20030506.txt,march,6
FOMCminutes20030506.txt,industrial,5
FOMCminutes20030506.txt,february,5
FOMCminutes20030506.txt,new,5
FOMCminutes20030506.txt,favorable,5
FOMCminutes20030506.txt,financial,5
FOMCminutes20030506.txt,current,5
FOMCminutes20030506.txt,monetary,5
FOMCminutes20030506.txt,sluggish,4
FOMCminutes20030506.txt,real,4
FOMCminutes20030506.txt,upturn,4
FOMCminutes20030506.txt,corporate,4
FOMCminutes20030625.txt,economic,25
FOMCminutes20030625.txt,federal,16
FOMCminutes20030625.txt,low,15
FOMCminutes20030625.txt,recent,11
FOMCminutes20030625.txt,many,9
FOMCminutes20030625.txt,significant,9
FOMCminutes20030625.txt,real,8
FOMCminutes20030625.txt,monetary,8
FOMCminutes20030625.txt,financial,7
FOMCminutes20030625.txt,foreign,7
FOMCminutes20030625.txt,substantial,7
FOMCminutes20030625.txt,current,7
FOMCminutes20030625.txt,robust,7
FOMCminutes20030625.txt,high,6
FOMCminutes20030625.txt,industrial,6
FOMCminutes20030625.txt,fiscal,6
FOMCminutes20030625.txt,overall,5
FOMCminutes20030625.txt,new,5
FOMCminutes20030625.txt,major,5
FOMCminutes20030625.txt,accommodative,5
FOMCminutes20030812.txt,economic,17
FOMCminutes20030812.txt,low,13
FOMCminutes20030812.txt,recent,12
FOMCminutes20030812.txt,second,10
FOMCminutes20030812.txt,substantial,9
FOMCminutes20030812.txt,federal,8
FOMCminutes20030812.txt,foreign,8
FOMCminutes20030812.txt,many,8
FOMCminutes20030812.txt,june,7
FOMCminutes20030812.txt,likely,7
FOMCminutes20030812.txt,financial,6
FOMCminutes20030812.txt,higher,6
FOMCminutes20030812.txt,current,6
FOMCminutes20030812.txt,industrial,5
FOMCminutes20030812.txt,previous,5
FOMCminutes20030812.txt,overall,5
FOMCminutes20030812.txt,new,5
FOMCminutes20030812.txt,strong,5
FOMCminutes20030812.txt,several,5
FOMCminutes20030812.txt,weak,4
FOMCminutes20030916.txt,economic,27
FOMCminutes20030916.txt,federal,13
FOMCminutes20030916.txt,overall,12
FOMCminutes20030916.txt,low,11
FOMCminutes20030916.txt,recent,9
FOMCminutes20030916.txt,august,9
FOMCminutes20030916.txt,final,7
FOMCminutes20030916.txt,substantial,7
FOMCminutes20030916.txt,unchanged,6
FOMCminutes20030916.txt,little,6
FOMCminutes20030916.txt,current,6
FOMCminutes20030916.txt,industrial,5
FOMCminutes20030916.txt,real,5
FOMCminutes20030916.txt,major,5
FOMCminutes20030916.txt,robust,5
FOMCminutes20030916.txt,foreign,5
FOMCminutes20030916.txt,significant,5
FOMCminutes20030916.txt,considerable,5
FOMCminutes20030916.txt,financial,5
FOMCminutes20030916.txt,fiscal,5
FOMCminutes20040316.txt,january,20
FOMCminutes20040316.txt,economic,18
FOMCminutes20040316.txt,low,13
FOMCminutes20040316.txt,february,11
FOMCminutes20040316.txt,higher,11
FOMCminutes20040316.txt,recent,10
FOMCminutes20040316.txt,last,10
FOMCminutes20040316.txt,monetary,10
FOMCminutes20040316.txt,fourth,9
FOMCminutes20040316.txt,federal,9
FOMCminutes20040316.txt,high,8
FOMCminutes20040316.txt,strong,8
FOMCminutes20040316.txt,average,7
FOMCminutes20040316.txt,financial,7
FOMCminutes20040316.txt,current,6
FOMCminutes20040316.txt,solid,5
FOMCminutes20040316.txt,private,5
FOMCminutes20040316.txt,real,5
FOMCminutes20040316.txt,new,5
FOMCminutes20040316.txt,good,5
FOMCminutes20040504.txt,first,20
FOMCminutes20040504.txt,economic,15
FOMCminutes20040504.txt,recent,14
