date,T1,T3,T6,T5,T8,T10
2002-01-31,0.2745972042157924,5.984466573570848e-23,3.089343704915209e-21,9.564068119175228e-21,3.7367488597157045e-09,3.301474953160628e-19
2002-02-28,,,,,,
2002-03-31,0.6122444828077899,2.4011433125624213e-19,2.8464593017573717e-18,1.0853813773397994e-16,1.6422768425695783e-08,1.0185843860172576e-16
2002-04-30,,,,,,
2002-05-31,0.568644162752031,1.017815651472646e-21,1.1338301051573368e-22,8.7155355828131e-24,9.876299174676637e-07,4.6519563135704514e-23
2002-06-30,0.9943278627243927,2.2739317081920046e-19,1.1723831412661313e-17,3.2915269312628462e-18,9.813636206407329e-06,1.9263984521629122e-17
2002-07-31,,,,,,
2002-08-31,0.9999512895077923,1.0091499195309182e-21,7.367269413911792e-22,4.321783415510169e-20,2.723518439351089e-07,1.679255391012359e-20
2002-09-30,0.9998431646349694,7.949900852697408e-22,8.475933773503988e-20,1.4797482171360397e-21,5.113292691321976e-06,7.921396569293563e-19
2002-10-31,,,,,,
2002-11-30,0.9999883023405883,2.0896219152489487e-16,6.89995836411706e-16,5.29732521610586e-15,1.4237697558461276e-07,3.4223547335874996e-15
2002-12-31,0.9871510294405499,1.7561795839093276e-21,1.7483744948457613e-21,7.201106354565099e-22,1.4802068157571105e-06,8.473027409661302e-20
2003-01-31,0.29096753900942957,1.9849085780843418e-22,2.0436203286748385e-22,1.0164610462218802e-20,6.050512531686943e-09,1.2780976733520627e-19
2003-02-28,,,,,,
2003-03-31,0.6033198478472496,9.002590904916715e-25,6.568287200390689e-23,1.217362303576009e-22,1.2228160068322857e-06,2.637964522263561e-20
2003-04-30,,,,,,
2003-05-31,0.5579078826916428,9.14851238538906e-24,8.51016082388242e-22,3.044888843729485e-22,4.2823613654312604e-07,1.4828247740085953e-20
2003-06-30,0.9998776471218848,5.60187217067482e-14,1.534451243919635e-13,1.2019666695596151e-14,9.915775374392036e-05,1.7559581295915954e-13
2003-07-31,,,,,,
2003-08-31,0.9762519582028277,2.5834268479497487e-18,1.1281210782866417e-12,1.827085389167154e-18,0.016095238694793818,1.3698196044710817e-16
2003-09-30,0.9999606566681137,3.8093782554351135e-20,1.871195747837692e-18,9.853722994189568e-21,3.840062967655794e-05,5.559798137482872e-17
2003-10-31,0.9969090288800283,1.4976960867836815e-22,2.7140322670531294e-17,4.177524756334401e-22,9.838944938675837e-05,2.083696900615079e-16
2003-11-30,,,,,,
2003-12-31,0.5729515989682981,2.2176082205845234e-14,2.550873092635633e-14,6.574199877300339e-15,0.2945029735745067,1.8996448564104165e-13
2004-01-31,0.18873553269307697,4.0064728171975433e-19,4.633392037899569e-18,6.8382612787082246e-18,0.09358185375695953,4.95081521728344e-16
2004-02-29,,,,,,
2004-03-31,0.09931354658167692,9.507395717618307e-30,3.092360826114566e-27,1.144484700573261e-28,0.22359052577676827,1.233714217474214e-24
2004-04-30,,,,,,
2004-05-31,0.03603772968722597,2.6492347885909514e-22,1.1187587926462583e-19,1.0354419838328907e-23,0.374923096316472,1.6312322235142253e-19
2004-06-30,0.201549993675988,2.1873124882801027e-17,6.985288027965859e-16,1.3196666147138113e-15,0.7978498418312912,1.3378209077187793e-13
2004-07-31,,,,,,
2004-08-31,0.011203639500747481,4.8274015675337195e-20,1.9027590833560922e-18,1.2691326399588293e-18,0.9887688080216952,1.2957620477082647e-18
2004-09-30,0.029141731924606312,1.1539536761186916e-14,5.299708283005691e-05,7.34783564534061e-16,0.9639818549293663,1.2422918261980109e-11
2004-10-31,,,,,,
2004-11-30,0.002541437826561032,2.0082242754162072e-20,7.557563845163857e-19,1.3704184311499486e-19,0.9974584166963404,1.5940174355572583e-17
2004-12-31,1.474518402435566e-07,1.1846643318858918e-19,1.3329021035235528e-15,1.928139362913629e-18,0.9977612759554513,2.946896798915907e-16
2005-01-31,,,,,,
2005-02-28,3.801029134968112e-07,5.478188193153502e-20,5.327122980708104e-17,1.0434481382158024e-19,0.2742390483274676,1.7423923623053645e-16
2005-03-31,7.936598640406967e-07,1.2784761806440459e-20,1.1570129636834585e-18,6.05567019386232e-20,0.7735872836214003,1.2491171490388292e-16
2005-04-30,,,,,,
