title,year,n_chars,n_words,n_sentences,avg_word_length,avg_sentence_length_words,avg_sentence_length_chars,vocab_size,type_token_ratio,hapax_legomena,hapax_ratio
2002-08-13,2002,23287.0,3777.0,116.0,5.248874768334657,32.560344827586206,200.75,1022.0,0.27058512046597827,553.0,0.1464124966904951
2002-09-24,2002,20959.0,3434.0,108.0,5.18462434478742,31.796296296296298,194.0648148148148,967.0,0.28159580663948747,529.0,0.15404775771694817
2002-11-06,2002,22666.0,3678.0,120.0,5.236541598694943,30.65,188.88333333333333,991.0,0.2694399129961936,534.0,0.14518760195758565
2002-12-10,2002,18493.0,3006.0,104.0,5.235528942115768,28.903846153846153,177.81730769230768,897.0,0.29840319361277445,508.0,0.16899534264803726
2003-01-29,2003,22169.0,3624.0,114.0,5.195916114790287,31.789473684210527,194.46491228070175,1006.0,0.27759381898454744,553.0,0.15259381898454746
2003-03-18,2003,20453.0,3340.0,112.0,5.200898203592814,29.821428571428573,182.61607142857142,951.0,0.28473053892215566,524.0,0.1568862275449102
2003-05-06,2003,21397.0,3508.0,126.0,5.180159635119726,27.841269841269842,169.81746031746033,994.0,0.28335233751425315,574.0,0.1636259977194983
2003-06-25,2003,25293.0,4177.0,132.0,5.133828106296385,31.643939393939394,191.61363636363637,1076.0,0.25760114915010773,588.0,0.14077088819727077
2003-08-12,2003,20335.0,3338.0,116.0,5.178849610545237,28.775862068965516,175.30172413793105,946.0,0.2834032354703415,521.0,0.1560814859197124
2003-09-16,2003,22535.0,3671.0,127.0,5.22037591936802,28.905511811023622,177.44094488188978,965.0,0.2628711522745846,490.0,0.13347861618087714
2004-03-16,2004,22258.0,3740.0,135.0,5.042780748663102,27.703703703703702,164.8740740740741,963.0,0.2574866310160428,520.0,0.13903743315508021
2004-05-04,2004,26578.0,4436.0,159.0,5.077772768259694,27.89937106918239,167.1572327044025,1088.0,0.24526600541027954,575.0,0.12962128043282237
2004-06-30,2004,23790.0,3959.0,129.0,5.091437231624147,30.689922480620154,184.41860465116278,1002.0,0.25309421571103813,513.0,0.12957817630714827
2004-08-10,2004,21754.0,3649.0,127.0,5.054535489175117,28.73228346456693,171.29133858267716,901.0,0.246916963551658,472.0,0.12935050698821596
2004-09-21,2004,22418.0,3800.0,136.0,4.9926315789473685,27.941176470588236,164.83823529411765,992.0,0.26105263157894737,547.0,0.14394736842105263
2004-11-10,2004,18629.0,3066.0,110.0,5.154924983692107,27.87272727272727,169.35454545454544,859.0,0.2801696020874103,469.0,0.15296803652968036
2004-12-14,2004,20122.0,3297.0,112.0,5.177130724901425,29.4375,179.66071428571428,885.0,0.2684258416742493,481.0,0.14589020321504398
2005-02-02,2005,20529.0,3403.0,110.0,5.110196885101381,30.936363636363637,186.62727272727273,906.0,0.26623567440493684,490.0,0.14399059653247134
2005-03-22,2005,24669.0,4100.0,151.0,5.114390243902439,27.1523178807947,163.3708609271523,1042.0,0.25414634146341464,566.0,0.1380487804878049
2005-05-03,2005,22471.0,3784.0,129.0,5.032241014799155,29.333333333333332,174.19379844961242,960.0,0.2536997885835095,506.0,0.13372093023255813
2005-06-30,2005,22275.0,3770.0,127.0,4.99920424403183,29.68503937007874,175.39370078740157,958.0,0.25411140583554376,521.0,0.13819628647214854
2005-08-09,2005,18123.0,3011.0,108.0,5.111258718033876,27.87962962962963,167.80555555555554,845.0,0.2806376619063434,461.0,0.1531052806376619
2005-09-20,2005,19366.0,3183.0,119.0,5.178762174049639,26.747899159663866,162.73949579831933,913.0,0.28683631793905123,518.0,0.16273955387998743
2005-11-01,2005,21087.0,3490.0,128.0,5.130372492836676,27.265625,164.7421875,957.0,0.27421203438395414,522.0,0.14957020057306591
2005-12-13,2005,19996.0,3276.0,114.0,5.1996336996337,28.736842105263158,175.40350877192984,904.0,0.27594627594627597,494.0,0.15079365079365079
2006-01-31,2006,19417.0,3250.0,113.0,5.064923076923077,28.761061946902654,171.83185840707964,888.0,0.2732307692307692,483.0,0.14861538461538462
2006-03-28,2006,23002.0,3801.0,147.0,5.144172586161536,25.857142857142858,156.47619047619048,979.0,0.2575637990002631,523.0,0.13759536963956853
2006-05-10,2006,23057.0,3890.0,147.0,5.020051413881748,26.462585034013607,156.85034013605443,963.0,0.2475578406169666,503.0,0.12930591259640103
2006-06-29,2006,23055.0,3879.0,131.0,5.022944057746842,29.610687022900763,175.99236641221373,973.0,0.2508378448053622,529.0,0.13637535447280227
2006-08-08,2006,19242.0,3197.0,120.0,5.105411323115421,26.641666666666666,160.35,843.0,0.2636847044103847,452.0,0.14138254613700343
2006-09-20,2006,20800.0,3452.0,135.0,5.117612977983778,25.57037037037037,154.07407407407408,882.0,0.25550405561993045,469.0,0.13586326767091542
2006-10-25,2006,23382.0,3861.0,142.0,5.135457135457136,27.190140845070424,164.66197183098592,939.0,0.2432012432012432,474.0,0.12276612276612277
2006-12-12,2006,23132.0,3865.0,135.0,5.0688227684346705,28.62962962962963,171.34814814814814,965.0,0.24967658473479948,511.0,0.13221216041397155
2007-10-30,2007,30176.0,4952.0,169.0,5.178513731825525,29.301775147928993,178.55621301775147,1055.0,0.21304523424878838,503.0,0.1015751211631664
2007-12-11,2007,32583.0,5328.0,195.0,5.20777027027027,27.323076923076922,167.09230769230768,1155.0,0.21677927927927929,600.0,0.11261261261261261
2008-01-30,2008,31558.0,5216.0,184.0,5.138228527607362,28.347826086956523,171.5108695652174,1098.0,0.21050613496932516,519.0,0.09950153374233128
2008-03-18,2008,30373.0,4994.0,186.0,5.173808570284341,26.849462365591396,163.29569892473117,1141.0,0.22847416900280337,575.0,0.11513816579895875
2008-04-30,2008,35189.0,5811.0,200.0,5.137669936327654,29.055,175.945,1184.0,0.2037515057649286,548.0,0.0943039063844433
2008-08-05,2008,26140.0,4270.0,151.0,5.211943793911007,28.278145695364238,173.11258278145695,1039.0,0.2433255269320843,538.0,0.12599531615925058
2008-09-16,2008,26045.0,4288.0,164.0,5.163712686567164,26.146341463414632,158.8109756097561,1058.0,0.24673507462686567,543.0,0.12663246268656717
